index,state,year,name,type,city,county,district,enroll,mmr,overall,xrel,xmed,xper
99,Maine,2018-19,Msad15 K-4 Gray/New Gloucester,,,Cumberland,,79.0,97.47,-1.0,,,3.8
1265,New Jersey,,Somerdale Park Elementary,,,Camden,,55.0,-1.0,96.4,,1.8,
920,Michigan,2018-19,Gobles Elementary,,,Van Buren,Gobles Public School District,63.0,-1.0,93.7,,1.6,
2802,Illinois,2018-19,James R Wood Elementary,,Somonauk,Dekalb,,300.0,96.33333333,-1.0,3.0,,
51,Wisconsin,2018-19,Doubek Elementary,,East Troy,Walworth,,,-1.0,95.0,5.0,,5.0
431,Iowa,2018-19,Jackson Elementary,,,Linn,,334.0,-1.0,96.7,,,
2807,Illinois,2018-19,Ardmore Elementary,,Villa Park,Dupage,,542.0,96.3099631,-1.0,2.4,0.37,
153,Michigan,2018-19,Watersmeet Township,,,Gogebic,Watersmeet Township School District,10.0,-1.0,100.0,,,
887,Florida,2018-19,Stanley Switlik Elementary,,,,Monroe,84.0,-1.0,95.24,3.571428571,,
3302,California,2018-19,Sybil N. Crookham Elementary,Public,Winton,Merced,,94.0,98.0,98.0,,2.0,
674,North Carolina,2018-19,Rama Road Elementary,,,Mecklenburg,,90.0,-1.0,100.0,,,
1642,Illinois,2018-19,Trewyn Primary,,Peoria,Peoria,,242.0,98.34710744,-1.0,,0.41,
1049,Ohio,2018-19,Orrville Elementary,Public,Orrville,Wayne,,139.0,94.24,90.65,,0.72,
742,Florida,2018-19,Westside Elementary,,,,Hendry,72.0,-1.0,95.83,,,
119,Virginia,2018-19,Heritage Academy,,,Pittsylvania,Pittsylvania/Danville,,-1.0,100.0,,,
598,Pennsylvania,2017,Upper Moreland Primary,,Hatboro,,,234.0,98.7,-1.0,,,
1679,Michigan,2018-19,Keith Elementary,,,Oakland,Walled Lake Consolidated Schools,86.0,-1.0,86.0,,11.6,
1913,Florida,2018-19,Collins Elementary,,,,Hillsborough,164.0,-1.0,89.02,2.43902439,,
2465,New York,2017-18,Pound Ridge Elementary,Public,Pound Ridge,Westchester,,,98.1,-1.0,1.93,,
4417,California,2018-19,Austin Creek Elementary,Public,Santa Rosa,Sonoma,,46.0,95.0,95.0,,5.0,
43,Maine,2018-19,Lubec Consolidated,,,Washington,,6.0,100.0,-1.0,,,
771,Iowa,2018-19,Heartland Christian,,,Pottawattamie,,190.0,-1.0,79.5,,,
629,Virginia,2018-19,Ravensworth Elementary,,,Fairfax,Fairfax,58.0,-1.0,96.6,1.72,,
752,Massachusetts,2018-19,Joseph Lee,Public,Dorchester,Suffolk,,,92.0,-1.0,,,
205,Idaho,2018-19,Indian Hills Elementary,,Pocatello,Bannock,Pocatello,,-1.0,88.17204301,4.301075269,,
139,Maine,2018-19,Washington County Totals,,,Washington,,266.0,96.24,-1.0,0.38,,3.01
